No.,President,Born,start of presidency,end of presidency,Post-presidency,Died,Age,Net worth((millions of 2022 US$)),Political party[11],Years in office,IQ,Height (ft),Height (cm),Weight (lbs),Number of kids,Number of marriages,State,Ethnic Origin,Religion(s),% of Budget Allocated to Defense,Wars During Tenure,Education,Degree
1,George Washington,"Feb 22, 1732[a]","57 years, 67 days","65 years, 10 days","2 years, 285 days","Dec 14, 1799","67 years, 295 days",707,None/Independent,1789–1797,132.5,"6'2""",188,175,0,1,Virginia,"English, other European",Episcopal,N/A,None,No formal education,N/A
2,John Adams,"Oct 30, 1735[a]","61 years, 125 days","65 years, 125 days","25 years, 122 days","Jul 4, 1826","90 years, 247 days",25,Federalist,1797–1801,155,"5'7""",170,165,5,1,Massachusetts,"English, other European","Congregationalist, Unitarian",N/A,Quasi-War with France,Harvard College (graduated in 1755),A.B.
3,Thomas Jefferson,"Apr 13, 1743[a]","57 years, 325 days","65 years, 325 days","17 years, 122 days","Jul 4, 1826","83 years, 82 days",284,Democratic-Republican,1801–1809,160,"6'2 1/2""",189,175,6,1,Virginia,"English, Scottish, Welsh","Episcopalian, Unitarian, Deist",8.60%,Barbary Wars,The College of William & Mary (graduated in 1762),B.A.
4,James Madison,"Mar 16, 1751[a]","57 years, 353 days","65 years, 353 days","19 years, 116 days","Jun 28, 1836","85 years, 104 days",136,Democratic-Republican,1809–1817,155,"5'4""",163,100,0,1,Virginia,English,Episcopalian,67.10%,War of 1812,The College of New Jersey (now Princeton University),B.A.
5,James Monroe,"Apr 28, 1758","58 years, 310 days","66 years, 310 days","6 years, 122 days","Jul 4, 1831","73 years, 67 days",36,Democratic-Republican,1817–1825,120-130,"6'0""",183,190,3,1,Virginia,"Scottish, Welsh",Episcopalian,N/A,None,The College of William & Mary (did not graduate),N/A
6,John Quincy Adams,"Jul 11, 1767","57 years, 236 days","61 years, 236 days","18 years, 356 days","Feb 23, 1848","80 years, 227 days",27,Democratic-Republican,1825–1829,168-175,"5'7""",170,165,4,1,Massachusetts,"English, other European","Congregationalist, Unitarian",N/A,None,Harvard College (graduated in 1787),A.B.
7,Andrew Jackson,"Mar 15, 1767","61 years, 354 days","69 years, 354 days","8 years, 96 days","Jun 8, 1845","78 years, 85 days",159,Democratic,1829–1837,103-132,"6'1""",185,140,3,1,Tennessee,"Scotch-Irish, English",Presbyterian,68.20%,First Seminole War,No formal education,N/A
8,Martin Van Buren,"Dec 5, 1782","54 years, 89 days","58 years, 89 days","21 years, 142 days","Jul 24, 1862","79 years, 231 days",34,Democratic,1837–1841,125,"5'6""",168,145,5,1,New York,Dutch,Dutch Reformed,N/A,None,Kinderhook Academy (did not graduate),N/A
9,William Henry Harrison,"Feb 9, 1773","68 years, 23 days","68 years, 54 days",0 days[b],"Apr 4, 1841","68 years, 54 days",7,Whig,1841,,"5'8""",173,170,10,1,Virginia,"English, Scottish, Welsh",Episcopalian,N/A,None,University of Pennsylvania (did not graduate),N/A
10,John Tyler,"Mar 29, 1790","51 years, 6 days","54 years, 340 days","16 years, 320 days","Jan 18, 1862","71 years, 295 days",68,Whig / None,1841–1845,,"6'0""",183,200,15,2,Virginia,"English, French, Dutch",Episcopalian,54.50%,None,The College of William & Mary (graduated in 1807),B.A.
